dir,original,smiles,conf,method,energy,reactive
47,O(C[{M}])[{M}],O(C[*])[*],conf_24,MACE-MP,-193.484436,False
48,C([{M}])O,C([*])O,conf_4,MACE-MP,-197.322952,False
49,C(=O)(C[{M}])[{M}],C(=O)(C[*])[*],conf_34,MACE-MP,-202.531952,True
50,C(=O)(O[{M}])C,C(=O)(O[*])C,conf_8,MACE-MP,-214.367661,False
51,C(=O)(O)C,C(=O)(O)C,conf_26,MACE-MP,-218.097519,False
52,C(C([{M}])[{M}])(O[{M}])([{M}])[{M}],C(C([*])[*])(O[*])([*])[*],conf_10,MACE-MP,-198.544373,False
53,C(O[{M}])(CO[{M}])([{M}])[{M}],C(O[*])(CO[*])([*])[*],conf_48,MACE-MP,-208.791840,False
54,C(O[{M}])(O[{M}])(C[{M}])[{M}],C(O[*])(O[*])(C[*])[*],conf_61,MACE-MP,-209.622772,False
55,C(CO)(O[{M}])([{M}])[{M}],C(CO)(O[*])([*])[*],conf_27,MACE-MP,-213.143997,False
56,C(O[{M}])(C[{M}])([{M}])O,C(O[*])(C[*])([*])O,conf_46,MACE-MP,-213.846558,False
57,C(C[{M}])([{M}])([{M}])O,C(C[*])([*])([*])O,conf_28,MACE-MP,-205.693314,False
58,C(O[{M}])(O[{M}])(O[{M}])C,C(O[*])(O[*])(O[*])C,conf_30,MACE-MP,-220.644989,False
59,C(O[{M}])(O[{M}])(O)C,C(O[*])(O[*])(O)C,conf_6,MACE-MP,-224.587219,False
60,C(C=O)([{M}])[{M}],C(C=O)([*])[*],conf_21,MACE-MP,-202.292938,False
61,C(=O)CO[{M}],C(=O)CO[*],conf_23,MACE-MP,-212.848907,False
62,O=CCO,O=CCO,conf_5,MACE-MP,-217.085266,False
63,C(C(O[{M}])[{M}])([{M}])([{M}])[{M}],C(C(O[*])[*])([*])([*])[*],conf_49,MACE-MP,-197.645874,False
64,C(C(O[{M}])O[{M}])([{M}])[{M}],C(C(O[*])O[*])([*])[*],conf_16,MACE-MP,-208.400787,False
65,C(C(O[{M}])[{M}])(O[{M}])[{M}],C(C(O[*])[*])(O[*])[*],conf_90,MACE-MP,-209.218567,False
66,C(C(O[{M}])O)([{M}])[{M}],C(C(O[*])O)([*])[*],conf_11,MACE-MP,-212.035736,False
67,C(C(O[{M}])[{M}])([{M}])O,C(C(O[*])[*])([*])O,conf_45,MACE-MP,-213.004089,False
68,C(C([{M}])[{M}])([{M}])O,C(C([*])[*])([*])O,conf_39,MACE-MP,-205.944473,False
69,C(O[{M}])(O[{M}])CO[{M}],C(O[*])(O[*])CO[*],conf_28,MACE-MP,-219.522812,False
70,C(O[{M}])(CO[{M}])O,C(O[*])(CO[*])O,conf_28,MACE-MP,-223.409866,False
71,C(CO[{M}])([{M}])O,C(CO[*])([*])O,conf_46,MACE-MP,-216.147903,False
72,C(O[{M}])(O[{M}])CO,C(O[*])(O[*])CO,conf_39,MACE-MP,-223.552460,False
73,C(O)(O)C,C(O)(O)C,conf_8,MACE-MP,-225.533081,False
74,C([{M}])(O)O,C([*])(O)O,conf_3,MACE-MP,-204.618774,False
75,C([{M}])(O)(O)C,C([*])(O)(O)C,conf_21,MACE-MP,-221.306396,False
76,C(CO)([{M}])O,C(CO)([*])O,conf_3,MACE-MP,-220.711151,False
77,C(C[{M}])(O)O,C(C[*])(O)O,conf_2,MACE-MP,-220.706482,False
78,[{M}]_O,[*]O,conf_11,MACE-MP,-181.160110,False
79,C(O[{M}])(O)O,C(O[*])(O)O,conf_2,MACE-MP,-211.443375,False
80,O(_[{M}])C,O([*])C,conf_18,MACE-MP,-197.493805,False
81,C(O[{M}])(O)(O)C,C(O[*])(O)(O)C,conf_13,MACE-MP,-227.591553,False
82,C(CO)(O[{M}])O,C(CO)(O[*])O,conf_16,MACE-MP,-227.562592,False
83,C(=O)(O[{M}])[{M}],C(=O)(O[*])[*],conf_16,MACE-MP,-194.031601,False
84,C(=O)([{M}])O,C(=O)([*])O,conf_22,MACE-MP,-196.790100,False
85,C(=O)O_[{M}],C(=O)O[*],conf_4,MACE-MP,-197.615921,False
86,C(O[{M}])(O[{M}])(O[{M}])[{M}],C(O[*])(O[*])(O[*])[*],conf_69,MACE-MP,-199.760223,False
87,C(O[{M}])(O[{M}])([{M}])O,C(O[*])(O[*])([*])O,conf_1,MACE-MP,-204.751312,False
88,C(O[{M}])([{M}])(O)O,C(O[*])([*])(O)O,conf_13,MACE-MP,-208.453339,False
89,C([{M}])([{M}])(O)O,C([*])([*])(O)O,conf_20,MACE-MP,-200.063721,False
90,C([{M}])([{M}])([{M}])[{M}],C([*])([*])([*])[*],conf_3,MACE-MP,-175.865524,False
91,O=C,O=C,conf_14,MACE-MP,-193.465057,False
92,O(CO[{M}])[{M}],O(CO[*])[*],conf_0,MACE-MP,-201.211838,False
93,C(O[{M}])O,C(O[*])O,conf_5,MACE-MP,-204.547958,False
94,OCO,OCO,conf_11,MACE-MP,-208.917557,False
95,C(=O)(C([{M}])[{M}])[{M}],C(=O)(C([*])[*])[*],conf_18,MACE-MP,-198.551636,False
96,C(=O)(CO[{M}])[{M}],C(=O)(CO[*])[*],conf_38,MACE-MP,-208.805481,False
97,C(=O)(O[{M}])C[{M}],C(=O)(O[*])C[*],conf_44,MACE-MP,-209.623276,False
98,C(=O)(CO)[{M}],C(=O)(CO)[*],conf_17,MACE-MP,-213.127579,False
99,C(=O)(C[{M}])O,C(=O)(C[*])O,conf_17,MACE-MP,-213.816101,False
100,C(=O)(O_[{M}])C,C(=O)(O[*])C,conf_8,MACE-MP,-214.367661,False
101,C(C([{M}])([{M}])[{M}])(O[{M}])([{M}])[{M}],C(C([*])([*])[*])(O[*])([*])[*],conf_23,MACE-MP,-194.128265,False
102,C(C(O[{M}])[{M}])(O[{M}])([{M}])[{M}],C(C(O[*])[*])(O[*])([*])[*],conf_89,MACE-MP,-205.351562,False
103,C(C([{M}])[{M}])(O[{M}])(O[{M}])[{M}],C(C([*])[*])(O[*])(O[*])[*],conf_49,MACE-MP,-204.607269,False
104,C(C([{M}])O)(O[{M}])([{M}])[{M}],C(C([*])O)(O[*])([*])[*],conf_4,MACE-MP,-208.955292,False
105,C(C([{M}])[{M}])(O[{M}])([{M}])O,C(C([*])[*])(O[*])([*])O,conf_26,MACE-MP,-209.336288,False
106,C(C([{M}])[{M}])([{M}])([{M}])O,C(C([*])[*])([*])([*])O,conf_25,MACE-MP,-201.644638,False
107,C(O[{M}])(O[{M}])(CO[{M}])[{M}],C(O[*])(O[*])(CO[*])[*],conf_93,MACE-MP,-216.444672,False
108,C(O[{M}])(CO[{M}])([{M}])O,C(O[*])(CO[*])([*])O,conf_27,MACE-MP,-220.288452,False
109,C(CO[{M}])([{M}])([{M}])O,C(CO[*])([*])([*])O,conf_25,MACE-MP,-211.924301,False
110,C(O[{M}])(O[{M}])(O[{M}])C[{M}],C(O[*])(O[*])(O[*])C[*],conf_39,MACE-MP,-216.093948,False
111,C(CO)(O[{M}])(O[{M}])[{M}],C(CO)(O[*])(O[*])[*],conf_35,MACE-MP,-220.804184,False
112,C(O[{M}])(O[{M}])(C[{M}])O,C(O[*])(O[*])(C[*])O,conf_71,MACE-MP,-220.367874,False
113,C(CO)(O[{M}])([{M}])O,C(CO)(O[*])([*])O,conf_1,MACE-MP,-224.578003,False
114,C(CO)([{M}])([{M}])O,C(CO)([*])([*])O,conf_6,MACE-MP,-216.384827,False
115,C(O[{M}])(C[{M}])(O)O,C(O[*])(C[*])(O)O,conf_35,MACE-MP,-222.889297,False
116,C(C[{M}])([{M}])(O)O,C(C[*])([*])(O)O,conf_1,MACE-MP,-217.255371,False
117,C(C=O)([{M}])([{M}])[{M}],C(C=O)([*])([*])[*],conf_23,MACE-MP,-197.654327,False
118,C(=O)C(O[{M}])[{M}],C(=O)C(O[*])[*],conf_46,MACE-MP,-209.176926,False
119,O=CC([{M}])O,O=CC([*])O,conf_10,MACE-MP,-212.912399,False
120,C(=O)CO_[{M}],C(=O)CO[*],conf_23,MACE-MP,-212.848907,False
121,C(C(O[{M}])O[{M}])([{M}])([{M}])[{M}],C(C(O[*])O[*])([*])([*])[*],conf_69,MACE-MP,-202.643768,False
122,C(C(O[{M}])O)([{M}])([{M}])[{M}],C(C(O[*])O)([*])([*])[*],conf_22,MACE-MP,-207.584106,False
123,C(C(O[{M}])[{M}])([{M}])([{M}])O,C(C(O[*])[*])([*])([*])O,conf_58,MACE-MP,-208.722580,False
124,C(C([{M}])O)([{M}])([{M}])[{M}],C(C([*])O)([*])([*])[*],conf_43,MACE-MP,-201.849030,False
125,C(C(O[{M}])O[{M}])(O[{M}])[{M}],C(C(O[*])O[*])(O[*])[*],conf_68,MACE-MP,-216.349899,False
126,C(C(O[{M}])O[{M}])([{M}])O,C(C(O[*])O[*])([*])O,conf_39,MACE-MP,-219.756409,False
127,C(C(O[{M}])[{M}])(O[{M}])O,C(C(O[*])[*])(O[*])O,conf_64,MACE-MP,-219.714111,False
128,C(C([{M}])O)(O[{M}])O,C(C([*])O)(O[*])O,conf_0,MACE-MP,-223.303497,False
129,C(C([{M}])[{M}])(O)O,C(C([*])[*])(O)O,conf_13,MACE-MP,-216.129791,False
130,C(C(O[{M}])[{M}])(O)O,C(C(O[*])[*])(O)O,conf_19,MACE-MP,-223.682266,False
131,C(C([{M}])O)([{M}])O,C(C([*])O)([*])O,conf_11,MACE-MP,-216.732651,False
132,C(CO[{M}])(O)O,C(CO[*])(O)O,conf_18,MACE-MP,-227.476013,False
133,C(O)(O)O,C(O)(O)O,conf_62,MACE-MP,-215.359024,False
134,C(O)(O)(O)C,C(O)(O)(O)C,conf_2,MACE-MP,-232.046570,False
135,C(CO)(O)O,C(CO)(O)O,conf_50,MACE-MP,-231.765396,False
136,O(C[{M}])_[{M}],O(C[*])[*],conf_24,MACE-MP,-193.484512,False
137,O=C=O,O=C=O,conf_2,MACE-MP,-194.031250,False
